Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Art, Architecture, and DesignHumanities;ArtContemporary ArtHistoryArt Criticism;Contemporary Critic Art and Exhibition Models (UNINETTUNO);Contemporary Critic Art and Exhibition Models (UNINETTUNO);International Telematic University UNINETTUNO
Allversity;USA;Self Paced;Self study;No Exam or Final Project;No certificate information;English;Self Paced Course - Start anytime;Mathematics;MathGeometry;Geometry (Allversity);Geometry (Allversity);Khan Academy
iversity;Germany;8 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Apr 15th 2014;Some basic understanding of the following subjects will help you successfully participate in this course: Algebra;;;;
Universarium;Russia;8 Weeks;1 hour/week;No Exam or Final Project;No Certificate;Russian;Apr 14th 2014;Art, Architecture, and Design;Russian TheaterComedyHistoryArtMHATRussia;История русского театра как история России (History of Russian Theater) (Universarium);История русского театра как история России (History of Russian Theater) (Universarium);Nezavisimaya Gazeta
Coursera;USA;13 Weeks;8-12 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Apr 14th 2014;Students will need a good command of algebra and trigonometry before they start this course, and some acquaintance with calculus.  ;Physics;PhysicsClassical MechanicsKinematicsDynamicsConservation Laws;Physics 1 for Physical Science Majors (Coursera);University of Colorado Boulder
edX;USA;5 Weeks;No information;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Apr 14th 2014;High school arithmetic and good comprehension of English. In addition, you are expected to know the material of Stat2.1x, with particular emphasis on histograms, averages, SDs, and the normal curve.;Statistics & Data Analysis;StatisticsProbabilityMath;Stat2.2x: Introduction to Statistics: Probability (edX);BerkeleyX
FutureLearn;United Kingdom;6 Weeks;2 hours/week;No Exam and/or Final Project information;No certificate information;English;Apr 14th 2014;No academic requirements.;Chemistry;Chemistry;Kitchen chemistry: Chemistry without a laboratory (FutureLearn);University of East Anglia
Udacity;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;No Certificate;English;Self Paced Course - Start anytime;We recommend you take Machine Learning 1: Supervised Learning prior to taking this course.;Computer Science: Artificial Intelligence, Robotics, VisionStatistics & Data Analysis;Machine LearningRandomized OptimizationLearning;Machine Learning 2 - Unsupervised Learning (Udacity);Georgia Institute of Technology
Other Providers;France;6 Weeks;2-3 hours/week;Yes, Paid Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Apr 14th 2014;knowledge in management may be helpful.;Business & Management;Value CreationSocial ResponsibilityManagement;Corporate Social Responsibility and Value Creation (Audencia Nantes);Audencia Nantes School of Management
Other Providers;United Kingdom;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced ;Business & ManagementHealth & SocietyLawMarketing & CommunicationSports;Sports BusinessSportsLawMarketingFinanceCyclingFootballFormula 1;What is Sports Business? (Salford University);What is Sports Business? (Salford University);Salford University Business School
Udacity;USA;Self Paced;Self study;No Exam and/or Final Project information;No Certificate;English;Self Paced Course - Start anytime;Nothing! Really. This course is for complete beginners. It is designed to help someone who has never seen computer code take their first steps into the world of programming and web-development.;Computer Science: Programming & Software Engineering;ProgrammingHTMLCSSJavascriptGame;Make Your Own 2048 (Udacity);Udacity
Coursera;Germany;Self Paced;Self study;No Exam and/or Final Project information;No Certificate;English;Self Paced ;There are no prerequisites for participation in the course;;;;
Other Providers;Australia;12 Weeks;4-6 hours/week;No Exam or Final Project;No, Open Badges;English;Self Paced Course - Start anytime;No prerequisites are required.;Languages & Literature;EnglishLanguageElementary English;Elementary English Course (MOOEC);MOOEC
Udemy;India;4 Weeks;Self study;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced ;Students of VLSI/Digita/Embedded systems design,  Semiconductor engineering professionals.;Information, Technology, and Design;System VerilogSOC DesignVLSIChip DesignASIC DesignTechnology;SOC Verification using System Verilog (Udemy);Instructor Made Course
openSAP;Germany;4 Weeks;Self study;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced;Basic understanding of business processes typically addressed in solutions like ERP, CRM, and SCM. Basic understanding of solution architectures of enterprise applications;Business & ManagementComputer Science: Programming & Software EngineeringInformation, Technology, and Design;BusinessSAP HANAIndustryImplementation;SAP Business Suite (openSAP);SAP
Coursera;China;7 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;No certificate information;Chinese;Apr 8th 2014;所有对传统诗词或中华文学感兴趣者;Humanities;PoetryLiteraryTangSong Poetry;唐诗宋词人文解读 Appreciation of Tang and Song Poetry (Coursera);Shanghai Jiao Tong University
edX;USA;7 Weeks;6-9 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 8th 2014;algebra, trigonometry, and some knowledge of single-variable calculus;Mathematics;MathAlgebraEquationsDifferential EquationsIntegralLogarithms;6.SFMx: Street-Fighting Math (edX);MITx
Coursera;China;7 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;No certificate information;Chinese;Apr 8th 2014;传播学、新闻学、广播电视编导、文化管理等专业。;HumanitiesMusic, Film & Audio;Media CriticismCultureMediaSociety;媒介批评:理论与方法 Media Criticism: Theory and Method (Coursera);Shanghai Jiao Tong University
edX;USA;13 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Apr 7th 2014;Suggested pre-reading: Inside National Health Reform, by the University of California Press and the Milbank Fund published in 2011 (portions of this book will be available during the course);Health & Society;HealthUnited StatesHealth Policy;PH210x: United States Health Policy (edX);HarvardX
edX;Australia;9 Weeks;5-10 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 7th 2014;This is an open course and anyone can choose to participate and learn about hypersonics.;EngineeringMathematicsPhysical & Earth SciencesPhysics;HypersonicsShock WavesScramjetsMach NumberEngineeringPhysics;HYPERS301x: Hypersonics - from Shock Waves to Scramjets (edX);University of Queensland
Coursera;USA;4 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Apr 7th 2014;No previous coursework is recommended, but the course will be most helpful to teachers with 3 or more years of teaching experience who are willing to directly apply experiences in their schools. ;EducationTeacher Professional Development;EducationTeacher EducationTeacherSkillsStudent;Inquiry Science Learning: Perspectives & Practices 4 - Student-Centered Inquiry (Coursera);Rice University
Coursera;Russia;10 Weeks;4-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;Russian;Apr 7th 2014;Это базовый курс, и для его освоения не требуется специального образования, он ориентирован на широкий круг слушателей.;Economics & Finance;EconomicsMicroeconomics;Основы микроэкономики (Microeconomics Principles) (Coursera);Higher School of Economics (HSE) - National Research University
Coursera;Denmark;4 Weeks;4-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 7th 2014;The course is open to anyone, but a basic knowledge of bio-chemistry is recommended.;Biology & Life SciencesFood and NutritionHealth & Society;DietNordic DietGastronomyHealthFood;The New Nordic Diet - from Gastronomy to Health (Coursera);University of Copenhagen
Coursera;Russia;8 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Russian;Apr 7th 2014;Знание микроэкономической теории на промежуточном уровне (ориентир – учебник Х.Вариан. Микроэкономика: промежуточный уровень) ;Economics & Finance;EconomicsMarketStrategic ManagementIndustrial Organization;Теория отраслевых рынков (Industrial Organization) (Cousera);Higher School of Economics (HSE) - National Research University
Coursera;USA;4 Weeks;3-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 6th 2014;This course is appropriate for any middle or high school teacher interested in learning how to incorporate engineering activities into their science curriculum. Formal training in the physical or life sciences is highly recommended.;EducationEngineeringTeacher Professional Development;EngineeringTeachingScienceEducationTeacher Education;Re-Engineering Your Science Curriculum (Coursera);Exploratorium
Coursera;USA;8 Weeks;5-7 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 6th 2014;Familiarity with some high school calculus (e.g., derivatives and integrals) is required.;Engineering;EngineeringSystemsModelingMatlab;Everything is the Same: Modeling Engineered Systems (Coursera);Northwestern University
Canvas Network;USA;Self Paced;Self study;No Exam and/or Final Project information;No certificate information;English;Self Paced Course - Start anytime;Intended for educators or professionals.;Personal & Professional DevelopmentSocial Sciences;Evaluation;Introduction to the Profession of Evaluation (Canvas.net);Claremont Graduate University
Coursera;Russia;10 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Russian;Apr 4th 2014;Специальных знаний, выходящих за пределы общеобразовательной школы, не предполагается.;Economics & Finance;EconomicsWealthPovertyMoneyMarkets;История экономической мысли (History of Economic Thought) (Coursera);Higher School of Economics (HSE) - National Research University
Other Providers;Germany;10 Weeks;1 hour/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);German;Apr 4th 2014;no prerequisites needed, open for everybody;Humanities;HistoryArchaeologyHansaHanesatic League;HanseMOOC (FhLubeck);Lübeck University of Applied Sciences
Marist College's FOLD;USA;4 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;No Certificate;English;Apr 4th 2014;This is designed for beginners who have and interest in fashion.;Art, Architecture, and Design;FashionMobileSoLoMo;The Mobile Consumer MOOC (Marist College);Marist College
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced ;Social Sciences;PsychologyCognitive Psychology;Cognitive Psychology (UNINETTUNO);Cognitive Psychology (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Social Sciences;PsychologyCommunity PsychologySocial;Community Psychology (UNINETTUNO);Community Psychology (UNINETTUNO);International Telematic University UNINETTUNO
NovoEd;USA;6 Weeks;1-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 2nd 2014;There are no prerequisites. It would be helpful to have basic skills taking digital photos, creating slide, presentations, and creating short videos for your homework submissions.;Music, Film & AudioSocial Sciences;MusicCreativity;Creativity: Music to My Ears (NovoEd);Stanford University
edX;USA;7 Weeks;2-4 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Apr 2nd 2014;Social Sciences;Nonprofit OrganizationsSocial;GWPx: Giving With Purpose: How to get the most out of your charitable giving (edX);GWPx: Giving With Purpose: How to get the most out of your charitable giving (edX);edX
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Social Sciences;Psychology;Classics of Psychology (UNINETTUNO);Classics of Psychology (UNINETTUNO);International Telematic University UNINETTUNO
Coursera;China;10 Weeks;4-5 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Chinese;Apr 1st 2014;Students or professionals who have acquired background knowledge in Media Communication, Advertising, Marketing, Psychology, Sociology, Statistics, Software, Advanced Mathematics, etc.;Business & ManagementSocial SciencesStatistics & Data Analysis;Big DataSocial MediaData AnalysisInformation;大数据与信息传播 Big Data and Information Dissemination (Coursera);Fudan University
NovoEd;Chile;5 Weeks;8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);Spanish;Apr 1st 2014; Necesitaras un computador con conexión a internet para ver los videos y leer las lecturas. Deberás trabajar a distancia con los otros miembros de tu grupo comunicándote a través de internet usando email y skype, por ejemplo.;Business & ManagementEconomics & Finance;FinanceBusinessManagement;Evaluación de Decisiones Estratégicas (NovoEd);Pontificia Universidad Católica de Chile
UP2U;Portugal;2 Weeks;5 hours/week;No Exam or Final Project;No Certificate;Portuguese;Apr 1st 2014;Education;VideoEducationMovie Maker;Produção e Partilha de Vídeos em Contexto Educativo (UP2U);Produção e Partilha de Vídeos em Contexto Educativo (UP2U);Instituto Politécnico de Leiria
Allversity;USA;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced Course - Start anytime;Biology & Life Sciences;EcosystemsEndangered EcosystemsBiologyEnvironmentEnvironmental Impacts;Endangered Ecosystems (Allversity);Endangered Ecosystems (Allversity);Environmental Education Media Project (EEMP)
Allversity;USA;Self Paced;Self study;No Exam and/or Final Project information;No Certificate;English;Self Paced ;EngineeringPhysics;MechanicsGo-KartEngineering;Basic Mechanics: Building a Go-Kart (Allversity);Basic Mechanics: Building a Go-Kart (Allversity);TheNewBoston
Allversity;USA;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced Course - Start anytime;Mathematics;MathArithmetic;Basic Arithmetic (Allversity);Basic Arithmetic (Allversity);Khan Academy
Universarium;Russia;8 Weeks;1 hour/week;No Exam or Final Project;No Certificate;Russian;Mar 31st 2014;Помимо школьных знаний по геометрии , нужны некоторые сведения из аналитической геометрии и из теории множеств, которые, впрочем, могут быть изложены по ходу курса.;Computer Science: Systems, Security, NetworkingEngineeringMathematics;Recognition SystemsMathAlgorithmsPerceptron;Распознающие системы (Systems of Recognition) (Universarium);Lomonosov Moscow State University
Universarium;Russia;4 Weeks;1 hour/week;No Exam or Final Project;No Certificate;Russian;Mar 31st 2014;Высшее образование (или незаконеченое высшее). Общие знания по маркетингу, менеджменту, финансовуму менеджменту, основам коммуникаций и бизнес-процессам.;Business & Management;EntrepreneurshipBusinessManagement;Предпринимательство (Entrepreneurship) (Universarium);Plekhanov Russian University of Economics
openHPI;Germany;6 Weeks;Self study;Yes, Free Exam and/or Final Project;No Certificate;English;Self Paced;Computer Science: Systems, Security, NetworkingComputer Science: Theory;InternetInternetworkingTCP/IPLANWAN;Internetworking with TCP/IP (openHPI);Internetworking with TCP/IP (openHPI);Hasso-Plattner-Institut
Coursera;USA;6 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Mar 31st 2014;The course may be appropriate for healthcare and upper-division undergraduate students that have had previous pharmacology course experiences, as well as practicing healthcare professionals.;Health & SocietyMedicine & Pharmacology;PoisonsToxicologyPoisoningPharmacology;Poisonings in the Home and Community: Assessment and Emergency Response (Coursera);University of California, San Francisco
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Arabic;English;French;Italian;Self Paced Course - Start anytime;Calculus 1 (UNINETUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Italian;Spanish;Self Paced ;Business & Management;CBVE - Master Class on Entrepreneurship (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Law;LawCivil Law;Civil Procedural Law (UNINETTUNO);Civil Procedural Law (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Business & ManagementEconomics & FinanceLaw;LawBankruptcyItalian Bankruptcy;Bankruptcy Law (UNINETTUNO);Bankruptcy Law (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced ;Business & ManagementMarketing & Communication;BrandsBrandingAdvertising;Brand Design (UNINETTUNO);Brand Design (UNINETTUNO);International Telematic University UNINETTUNO
edX;Korea;6 Weeks;5-8 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Mar 28th 2014;First- and second-order linear differential equations;;;;
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced ;Art, Architecture, and DesignHumanities;ArchaeologyHistoryGreek ArtGreeceRoman ArtHellenistic Greece;Archaeology and History of Greek and Roman Art (UNINETTUNO);Archaeology and History of Greek and Roman Art (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Humanities;ArchivisticsArchiveHistoriography;Archivistics (UNINETTUNO);Archivistics (UNINETTUNO);International Telematic University UNINETTUNO
CourseSites;USA;5 Weeks;No information;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Mar 26th 2014;Personal & Professional DevelopmentSocial Sciences;Social Entrepreneurship;Social Entrepreneurship: A Grassroots Revolution (FHSU);Social Entrepreneurship: A Grassroots Revolution (FHSU);Fort Hays State University
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Humanities;AestheticsContemporary AestheticsPhilosophy;Aesthetics and analysis of artistic languages (UNINETTUNO);Aesthetics and analysis of artistic languages (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Humanities;Ancient TopographyAncient MonumentsMethodologiesArchaeology;Ancient topography, relief and technical analysis of ancient monuments (UNINETTUNO);Ancient topography, relief and technical analysis of ancient monuments (UNINETTUNO);International Telematic University UNINETTUNO
NovoEd;USA;Course length not available;No information;No Exam and/or Final Project information;No certificate information;English;Mar 26th 2014;EducationTeacher Professional Development;EducationTeacher EducationMath;Mastering Language for the Common Core State Standards: Focus on Mathematics in Elementary Grades (NovoEd);Mastering Language for the Common Core State Standards: Focus on Mathematics in Elementary Grades (NovoEd);Stanford University
Other Providers;Germany;7 Weeks;3-4 hours/week;No Exam or Final Project;No, Open Badges;English;Mar 25th 2014;We invite change makers beyond hierarchical boarders, from all over the world, with diverse backgrounds, to embark on a leadership journey of co-creation - a collective effort to become the change we want to feel in the world.;Business & ManagementPersonal & Professional Development;LeadershipGlobal ResponsibilityChange Makers;Leadership for Global Responsibility (GC21);GIZ - Global Campus 21
Coursera;USA;7 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Mar 24th 2014 ;EducationInformation, Technology, and DesignSocial Sciences;GlobalizationHigher EducationUniversityEducation;Globalizing Higher Education and Research for the 'Knowledge Economy' (Coursera);Globalizing Higher Education and Research for the 'Knowledge Economy' (Coursera);University of Bristol
Canvas Network;USA;6 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Mar 24th 2014 ;Intended for educators or professionals;Education;Digital ToolsTeach LanguagesTeach English;Task-based Language Teaching with Digital Tools (Canvas.net);Canvas Network
CourseSites;USA;4 Weeks;3-5 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Mar 24th 2014;This course should be of interest to teachers/instructors at all levels (K-12, higher ed, corporate) and instructional designers.;EducationTeacher Professional Development;Social MediaEducationPedagogyTeacher Development;Social Media for Active Learning (FSU);Florida State University
Canvas Network;USA;Self Paced;Self study;No Exam and/or Final Project information;No Certificate;English;Self Paced Course - Start anytime;Social Sciences;BehaviorBehavioral Science;Introduction to Behavioral Science Degree Programs (Canvas.net);Introduction to Behavioral Science Degree Programs (Canvas.net);Utah Valley University
NovoEd;USA;6 Weeks;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Mar 24th 2014 ;You need a computer that allows you to watch the video lectures and examples, and the ability to upload your assignments, which will include text reports and possibly images or video.;Business & ManagementPersonal & Professional Development;LeadershipLeaderEntrepreneurshipBusiness;Lead Like an Entrepreneur (NovoEd);Babson Global
Coursera;USA;6 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Mar 24th 2014 ;A basic introductory course in economics or business could help, but no knowledge is required;;;;
UP2U;Portugal;1 Week;5 hours/week;No Exam or Final Project;No Certificate;Portuguese;Mar 24th 2014;Information, Technology, and DesignPersonal & Professional Development;Mental MapsIdeasBrainstormingInformation;Construção e Partilha de Mapas Mentais (UP2U);Construção e Partilha de Mapas Mentais (UP2U);Instituto Politécnico de Leiria
Neodemia;France;6 Weeks;1-2 hours/week;Yes, Free Exam and/or Final Project;No certificate information;French;Mar 24th 2014 ;Il s'adresse aux entrepreneurs, créateurs ou dirigeants de PME, ainsi qu’aux profils financiers et comptables, qui souhaitent approfondir leurs connaissances en matière de financement .I;Business & ManagementEconomics & Finance;FinanceBusinessEntrepreneurshipEnterprise;BDO001: Financer votre entreprise (Neodemia);Neodemia
UP2U;Portugal;1 Week;5 hours/week;No Exam or Final Project;No Certificate;Portuguese;Mar 24th 2014;Information, Technology, and Design;WebWeb ContentWCAGAccessibility;Conhecer as WCAG 2.0 - Diretrizes de Acessibilidade para Conteúdos Web (UP2U);Conhecer as WCAG 2.0 - Diretrizes de Acessibilidade para Conteúdos Web (UP2U);Instituto Politécnico de Leiria
Canvas Network;USA;Self Paced;Self study;No Exam and/or Final Project information;No certificate information;English;Self Paced Course - Start anytime;Intended for educators or professionals. ;EducationEnergy & Earth Sciences;EducationSustainability;Introduction to Education for Sustainability (Canvas.net);The Cloud Institute for Sustainability Education
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Physics;Physics;Física Clásica (TareasPlus);Física Clásica (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Chemistry;Chemistry;Química General (TareasPlus);Química General (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Chemistry;ChemistryOrganic Chemistry;Química Orgánica (TareasPlus);Química Orgánica (TareasPlus);TareasPlus
Aquent Gymnasium;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced ;Ability to code HTML/CSS by hand. Knowledge of graphic design software. Experience designing for the web.;Computer Science: Programming & Software EngineeringInformation, Technology, and Design;Web DesignCSSResponsive DesignHTML;Responsive Web Design (Aquent);Aquent
Other Providers;USA;4 Weeks;1-2 hours/week;Yes, Free Exam and/or Final Project;No Certificate;English;Mar 23rd 2014;An idea for a comic book. A Gmail Account. English speaking, ages 13+;Art, Architecture, and DesignEducation;ComicsComic Books;Get A Grasp! A Primer MOOC To Get Your Comic Book Project Started (MakingComics);Making Comics
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathDifferential Equations;Ecuaciones Diferenciales (TareasPlus);Ecuaciones Diferenciales (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathTrigonometry;Trigonometría Plana (TareasPlus);Trigonometría Plana (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathLinear AlgebraAlgebra;Álgebra Lineal (TareasPlus);Álgebra Lineal (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathLogicMathematical Logic;Lógica y Conjuntos (TareasPlus);Lógica y Conjuntos (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathGeometry;Geometría Básica (TareasPlus);Geometría Básica (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathGeometry;Geometría Analítica (TareasPlus);Geometría Analítica (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;AlgebraMath;Álgebra Elemental (TareasPlus);Álgebra Elemental (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathArithmetic;Aritmética (TareasPlus);Aritmética (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathCalculusIntegral;Cálculo Integral (TareasPlus);Cálculo Integral (TareasPlus);TareasPlus
TareasPlus;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Spanish;Self Paced Course - Start anytime;Mathematics;MathCalculusIntegralDifferential;Cálculo Diferencial (TareasPlus);Cálculo Diferencial (TareasPlus);TareasPlus
edX;USA;Self Paced;Self study;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Self Paced ;None. ;Humanities;ChinaModern ChinaChina Culture;SW12.4x: China (Part 4): A New National Culture (edX);HarvardX
Coursera;USA;Self Paced;2-5 hours/week;No Exam and/or Final Project information;No Certificate;English;Self Paced ;No background in psychology or religious studies is assumed on the part of students. But it will help to have a curiosity about how the mind works, an interest in what accounts for the ups and downs of human experience, and interest in the meaning of life;Humanities;BuddhismPsychologyBuddhistMind;Buddhism and Modern Psychology (Coursera);Princeton University
Udemy;USA;Self Paced;Self study;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced Course - Start anytime;English speaker;HumanitiesMarketing & CommunicationSocial Sciences;CommunicationIntercultural CommunicationInterculturalMulticulturalCultureHumanitiesSocial Sciences;A World of Difference: Exploring Intercultural Communication (Udemy);Udemy
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Italian;Self Paced Course - Start anytime;Business & ManagementHealth & SocietyStatistics & Data Analysis;Quality ManagementISO 9001Quality;Quality management (UNINETTUNO);Quality management (UNINETTUNO);International Telematic University UNINETTUNO
UNINETTUNO OpenupEd;Italy;Self Paced;Self study;No Exam or Final Project;No Certificate;Arabic;English;French;Italian;Self Paced Course - Start anytime;Introduction to Programming (UNINETTUNO);International Telematic University UNINETTUNO
OpenLearning;Malaysia;6 Weeks;5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Mar 18th 2014;This course is targeted to secondary school levers however anyone can register into this course and participate in the activities.;Business & ManagementEducation;BusinessHospitalityManagement;Biosciences: A Business Journey with Caffeine Cafe (OpenLearning);Taylor's University
OpenLearning;Malaysia;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Self Paced ;Biology & Life SciencesEducationFood and NutritionHealth & Society;FoodCulinaryBeverageHotel Industry;Wonderful Styles of Food and Beverage around the World (OpenLearning);Wonderful Styles of Food and Beverage around the World (OpenLearning);Taylor's University
Coursera;USA;11 Weeks;8-20 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Mar 17th 2014;Computer Science: Programming & Software EngineeringComputer Science: Systems, Security, Networking;CompilersProgramming;Compilers (Coursera);Compilers (Coursera);Stanford University
OpenLearning;Malaysia;7 Weeks;5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Mar 17th 2014;This course is targeted to secondary school levers however anyone can register into this course and participate in the activities.;Biology & Life SciencesEducation;BiologyEducationCell BiologyScience;Biosciences: Journey into the Cell (OpenLearning);Taylor's University
